iter	RMSE
0	11063.16619
1	10325.02948
2	9643.597866
3	9059.425617
4	8575.975455
5	8081.261046
6	7640.732289
7	7277.101208
8	6946.310768
9	6657.266862
10	6424.842438
11	6197.558892
12	6008.330749
13	5842.36334
14	5701.575087
15	5613.838319
16	5503.919085
17	5405.842333
18	5325.260476
19	5257.587414
20	5194.88942
21	5138.172838
22	5086.90382
23	5043.001088
24	5011.386274
25	4976.533686
26	4945.486071
27	4918.010414
28	4891.782863
29	4868.878916
30	4849.507676
31	4831.783749
32	4811.160028
33	4798.859792
34	4783.766554
35	4772.058518
36	4761.634805
37	4755.515621
38	4742.48711
39	4733.222982
40	4722.537082
41	4714.349195
42	4711.419101
43	4701.218344
44	4693.332046
45	4677.172957
46	4667.861053
47	4660.331502
48	4653.655168
49	4647.520717
50	4630.469441
51	4619.34014
52	4618.105257
53	4610.944081
54	4600.237794
55	4593.892638
56	4583.639315
57	4583.21478
58	4570.675081
59	4554.223092
60	4545.745609
61	4538.250796
62	4529.118075
63	4520.010171
64	4511.816152
65	4504.013733
66	4496.788995
67	4488.460184
68	4478.407375
69	4469.807554
70	4460.608258
71	4454.252312
72	4449.23547
73	4444.731963
74	4438.40378
75	4432.661401
76	4428.994556
77	4422.611636
78	4416.744283
79	4408.336154
80	4399.259858
81	4392.334799
82	4382.007818
83	4375.355097
84	4373.110501
85	4367.956471
86	4357.941785
87	4350.355525
88	4339.70198
89	4327.909257
90	4319.791819
91	4309.539334
92	4300.175804
93	4294.7717
94	4287.491599
95	4277.503935
96	4269.229548
97	4259.376544
98	4255.229134
99	4245.517284
