iter	RMSE
0	129.3562443
1	119.983456722	112.9184833
3	105.1700545
4	98.12739366
5	91.92473191
6	86.3182232577	81.37332338	8	76.97064229	9	72.909136510	68.47908379
11	65.60121154
12	62.96037127
13	60.46226535
14	58.53804117
15	56.64213263
16	55.02005608
17	53.51450628
18	52.15946129
19	51.00965875
20	49.96395868
21	49.04188728222	48.22859721
23	47.39933944
24	46.7412267925	45.89658697
226	45.5728678
27	45.00771747
28	44.58768265
29	44.15942112
30	43.7885434531	43.67068029
32	43.11733358
33	42.8068851334	42.78370759
335	42.4125591
36	42.37580058
37	41.90035826
38	41.71057941
39	41.71953886
40	41.53264864
41	41.2482024
42	41.08671297
43	40.93994541
44	40.74096349
45	40.60883832
46	40.49404527
47	40.38940042
4448	40.46927549	40.17879766
02
